失之交臂,1
失準,1
好友,1
妮雅瓦,1
始終,1
娶厲,1
婚禮,1
安德魯多明,1
完全,1
完成,1
害,1
導,4
小,1
小布,2
小布成,1
少數,1
尼,6
尼克,1
展現,1
左右,1
已成,1
布,3
布萊德葛雷,1
希臘,1
度,1
影史,1
影集,1
德,1
心想,1
性,1
恩,1
悠遠,1
意境,1
意義,1
打造,1
找到,1
投資,3
拍攝,2
拍片,1
挺,1
控制,1
擔,3
攝諾曼,1
支持,1
收益,1
斬,1
斯,2
斯威特,2
明星,2
是,1
晚,1
晚安,1
暴力,1
更,1
最輝煌,1
未演出,1
末日,1
林,3
柯西,1
樹,1
歐,1
歐圖,1
殺戮,1
永生,1
沈重,1
法新社,1
泰倫斯馬,1
派拉蒙,1
湯,1
湯姆克魯斯,2
湯姆漢,1
湯姆漢克,1
湯姆漢克則,1
演出,3
演演,1
演而,1
獎紀錄,1
率,1
玩家,1
現他,1
理想,1
當,1
當斯傳,1
瞄準,1
砸,1
確,1
祝,1
神鬼,1
空降,1
立,1
第大,1
範,1
紅好萊塢,1
經典,1
緊急,1
編劇,1
總統,2
翰亞,1
老婆,1
自導,1
自得,1
自演,4
自編,2
興趣,1
艾佛,1
華爾街,1
萊,2
葛,1
葛雷成,1
蘇珊道,1
血腥,1
角色,1
評論,1
警匪片,2
資金開,1
賣座,2
起步,1
足,1
足以,1
跨,1
較,1
追捕,1
這部,1
連續,1
運入,1
達蘿絲,1
選情,1
選戰風,1
避免,1
還拍,1
還與,1
重大,1
量身,1
金獎,1
錢,1
鍍金,1
開國,1
間,1
阿,1
阿湯哥,1
雙收,1
離婚,1
雲,1
電視且,1
電視劇,1
預算,1
領,1
題材,1
高分,1
魔球,1
鮮少,1
黑奴,1
黨,1
／,1
單,2
屆,2
製,1
86,2
奧斯卡得,2
獎名,2
呈,1
片名,1
男主角,1
風格,1
吻,1
影帝,1
導演,2
小金人,2
時代,1
雜誌,1
10,1
並將,1
之美,1
保羅索倫,2
回顧羅馬,1
外語片,1
大佳,1
大利,1
奪獎,1
家人,1
將其,1
年度,1
影像,1
手中,1
托尼瑟維洛,1
扮演,1
提諾,1
提諾外,1
昨天,1
特殊,1
獎榮耀獻給,1
現場,1
現虛空,1
絕美之城,2
繁華導演,1
義,1
肯定,1
親吻,1
語片,1
透過,1
過往,1
選為,1
世界,3
了解,1
影片,1
搶,1
沒,1
萬,1
觀眾,1
想到,1
典禮,1
台,1
21,1
網友,3
看到,2
解釋,1
最高,1
轉播,2
公司,3
拍攝,1
昨天,1
80,1
MV,1
不斷,1
主要,1
典禮播,1
典禮求,1
出現,2
包下,1
危險,3
台下,1
唱片,2
回應,1
太,1
嫌,1
完單,1
宣傳,1
密集,1
幫,1
廣告,2
慘遭,1
手法,1
拭目以待,1
指教,1
挨批,1
插卡,1
搭,1
播放,1
擾民,1
整場,1
新歌,1
方大同,6
早鎖定,1
昨搭上,1
時段,1
曝光率,1
有線,1
次新歌,1
無線,1
狂秀,1
直播,1
看膩,1
破口,1
網友批,1
背影,3
虧擾民,1
請,1
謝謝,1
這支,1
部分,2
預告,2
預告片,1
頻頻,1
票房,1
冰雪,1
勞勃羅培茲,1
可望,1
奇緣,1
破紀錄,1
雙喜,1
上映,1
不少,1
之心,4
了解,2
人,1
創下,1
年,1
描述,1
改編,1
最佳影片,5
本片,1
歷史,1
活動,1
獎項,1
生活,2
自由,10
表示,1
走,1
重要,2
拿下,1
演員,1
獲,2
人員,1
做,1
備,1
奧斯卡,1
工作,1
製,4
將於月,1
導演,1
帶,1
透露,1
不,1
小金人,2
知道,1
安吉,1
彼特,1
莉娜,1
裘莉,1
黑人,1
深情,1
監,4
紀錄,1
之間,1
史,1
小布,2
布,2
德,1
神鬼,1
萊,1
這部,2
黑奴,1
家人,1
不斷,1
主要,1
播放,1
-,2
12,1
123,1
14,1
2006,1
:,1
一吻,1
一夕,1
下,1
不停,1
主義,1
主義獎,1
之心揮灑,1
之苦現,1
之身,2
二度,1
人道,1
便布,1
內疚,1
前一天,1
劇變,1
勇奪,1
印下,1
參加,1
受折磨,1
同樣,1
命運無情,1
嘗試,1
在世界上,1
大小,1
奧斯卡史,1
奴,2
奴役,3
季高達,1
寫,1
導演史,1
小布繼,1
帶出,1
幫助過,1
年間,1
幽默,1
得獎,1
復,2
恢,2
情深,1
感人,1
感性,1
感言,2
感謝,1
打擊,1
承受,1
挾著,1
提夫,2
提夫麥,1
提醒,2
擁有,2
擒,1
擒金小布,1
改,1
救援,1
新紀錄,1
日台灣,1
昆以,1
時小布,1
更將,1
有權,2
望,1
期,1
未婚妻,1
本色,1
架,1
橫掃,1
每個,2
清理,1
演史,1
演員團隊,1
演說,1
無間,1
片段,1
狗,1
生命,1
生而平等,2
發表,1
發表得獎,1
白人,1
第二次,1
精神,1
索羅門,2
綁,1
美國獎,1
脫困,1
自傳,1
自索羅門,1
致力,1
興奮,1
舞台,1
著導,1
血淚,2
裘莉長,1
話,1
該片,2
認為,1
諾薩普,1
負眾,1
超級,1
身分,2
身心,1
這句,1
這本,1
過去,1
道,1
遭受,1
遭拐,1
闡述,1
電影獻給,1
非活,1
非裔,1
頒人道,1
額頭,1
騙,1
鰈,1
鶼,1
麥昆,2
一下,1
入圍,1
具有,1
多年,1
愛,1
此片,1
演技,1
片,1
獨,1
美國,2
英雄,2
觀眾,1
跳,1
近年,2
青睞,1
首次,1
馬,6
修麥,2
俱樂部,2
吻,1
喜劇,1
康納,2
影帝,2
李奧納,2
狄卡皮,1
珍妮佛,1
藥命,2
做,1
原本,1
影藝學院,1
患者,1
拒絕,1
李透,1
製,1
21,2
男子,1
一個,1
多位,1
網友,1
玩笑,1
擁抱,1
令,1
殺戮,2
演出,1
祝,1
立,1
謝謝,1
感謝,1
6000,1
HIV,3
一枚,1
下流,2
並特別,1
仍難,1
仰天一望,1
來以,1
修,1
修感謝,1
修氣,1
修為,1
修稱,1
修藥命,1
俱樂,2
傳聞,1
元素,1
先是,1
公斤,2
出馬,1
別哭,1
剩,1
加上,1
卡蜜,1
及,1
友虧,1
受奧斯卡,1
可憐,1
同志,1
同戲,1
哭,1
商業,1
商業片,1
喜上眉梢,1
嘉納,1
城,1
墨西哥,1
奪金,1
妳,1
嬌妻,1
宛如,1
尊敬,1
嶄露,2
帝藥命,1
得知,1
德州,1
怎能不,1
惜,1
愛情,1
愛滋議題,1
愛開,1
感染,2
成功,1
戲瘋狂,1
手,1
手喬,1
拉,1
挑戰,1
掛帥,1
換骨,1
擁吻,1
教我如何,1
教美國,1
時刻,2
更是,1
最後不忘,1
會員,1
李奧納華爾街,1
框架,1
棋藥命,1
榜命,1
榮登,1
權利,1
歐親,1
正義殺,1
正義轉型,1
死刑,1
水電工,1
治療,2
沾,1
注意,1
減重,2
滋,1
演員傑瑞,1
演藝學院,1
漢意,1
為戲,1
無法展,1
爭取,1
父母,1
爸教,1
狼次,1
猛馬,1
獲獎剎,1
現實力,1
生命垂危,1
男孩,1
病,1
病患,1
病毒,1
瘦,1
皮包骨,1
結,1
給馬修,1
縭,1
義媽,1
脫,1
脫胎,1
舞棍,1
藥物,1
角逐,1
觸,1
議題,1
費,1
賀馬修,1
走私,1
走險,1
